200	319.90
4200	319.90
4400	290.80
4600	261.69
4800	237.19
5000	216.36
5200	198.50
5400	183.08
5600	169.67
5800	157.96
6000	147.68
6200	138.61
6400	130.59
6600	123.48
6800	117.15
7000	111.51
7200	106.47
7400	101.98
7600	97.96
7800	94.36
8000	91.15
8200	88.28
8400	85.71
8600	83.44
8800	81.41
9000	79.62
9200	78.05
9400	76.67
9600	75.47
9800	74.44
10000	73.57
10200	72.84
10400	72.24
10600	71.78
10800	71.42
11000	71.18
11200	71.05
11400	71.01
11600	71.06
11800	71.20
12000	71.43
12200	71.73
12400	72.11
12600	72.56
12800	73.08
13000	73.67
13200	74.32
13400	75.03
13600	75.80
13800	76.62
14000	77.50
14200	78.43
14400	79.42
14600	80.45
14800	81.53
15000	82.66
15200	83.83
15400	85.04
15600	86.30
15800	87.61
16000	88.95
16200	90.33
16400	91.75
16600	93.22
16800	94.71
17000	96.25
17200	97.82
17400	99.43
17600	101.08
17800	102.76
18000	104.47
18200	106.22
18400	108.00
18600	109.81
18800	111.66
19000	113.54
19200	115.45
19400	117.39
19600	119.37
19800	121.37
20000	123.41
40000	123.41
