0	0.000
11097.5610	0.000
11195.1220	0.243
11292.6829	0.787
11390.2439	1.331
11487.8049	1.875
11585.3659	2.385
11682.9268	2.600
11780.4878	2.600
11878.0488	2.601
11975.6098	2.602
12073.1707	2.581
12170.7317	2.582
12268.2927	2.583
12365.8537	2.584
12463.4146	2.584
12560.9756	2.560
12658.5366	2.561
12756.0976	2.562
12853.6585	2.562
12951.2195	2.563
13048.7805	2.557
13146.3415	2.558
13243.9024	2.558
13341.4634	2.559
13439.0244	2.560
13536.5854	2.560
13634.1463	2.560
13731.7073	2.561
13829.2683	2.562
13926.8293	2.563
14024.3902	2.567
14121.9512	2.566
14219.5122	2.567
14317.0732	2.350
14414.6341	1.938
14512.1951	1.541
14609.7561	1.125
14707.3171	0.708
14804.8780	0.292
14902.4390	0.000
149020.4390	0.000
